State,Electoral College Votes,Nationwide Inflation (%),In Recession (Y/N),Population,Unemployment Rate (%),Median Household Income,% with Bachelor's Degree or Higher,% Without Healthcare Coverage,Year,Election Result
South Dakota,3,0.012,Y,884659,4.4,59533,0.287,0.111,2020,R
Nevada,6,0.012,Y,3080156,12.8,60365,0.255,0.114,2020,D
New York,29,1.3,No,19745289,4.8,62909,36.6,6.1,2016,D
Washington,11,3.4,No,5894121,5.2,45776,27.7,11.6,2000,D
Nevada,5,3.4,No,1998257,4.2,44581,18.2,19.0,2000,R
Kansas,6,3.8,Yes,2802134,4.9,50177,30.0,12.0,2008,R
North Dakota,3,3.4,No,642200,2.9,34604,22.0,10.0,2000,R
Texas,38,2.1,No,26059203,6.7,50920,27.2,21.9,2012,R
Washington,11,2.7,No,6203788,6.2,52566,30.8,13.1,2004,D
West Virginia,5,3.4,No,1808344,5.5,29696,14.8,14.4,2000,R
Minnesota,10,0.012,Y,5639632,6.3,74593,0.361,0.049,2020,D
Indiana,11,2.7,No,6237569,5.3,44869,21.8,13.2,2004,R
Michigan,16,2.1,No,9883360,8.5,46859,25.5,11.4,2012,D
Oregon,7,2.7,No,3591363,6.8,46120,27.8,14.4,2004,D
New Mexico,5,1.3,No,2081015,6.7,46748,27.7,9.2,2016,D
Kansas,6,0.012,Y,2913314,5.9,62087,0.334,0.092,2020,R
New Hampshire,4,1.3,No,1334795,2.8,70936,36.9,5.9,2016,D
California,55,1.3,No,39250017,5.5,67739,33.9,7.3,2016,D
South Carolina,9,0.012,Y,5148714,6.2,56227,0.281,0.108,2020,R
Pennsylvania,20,1.3,No,12784227,5.4,56907,30.5,6.3,2016,R
California,55,3.8,Yes,36756666,7.3,61021,30.2,17.2,2008,D
Wyoming,3,0.012,Y,578759,5.8,65003,0.279,0.123,2020,R
Kentucky,8,3.4,No,4041769,4.2,33672,17.1,12.0,2000,R
Louisiana,9,2.7,No,4523628,6.1,36982,19.7,18.5,2004,R
Kentucky,8,0.012,Y,4467673,6.6,52295,0.242,0.056,2020,R
New Jersey,14,2.1,No,8864590,9.2,69667,36.8,13.2,2012,D
Texas,38,0.012,Y,28995881,7.6,64034,0.307,0.175,2020,R
West Virginia,5,2.1,No,1855364,7.5,40196,18.3,10.7,2012,R
Washington,12,1.3,No,7288000,5.2,67106,37.5,6.0,2016,D
Mississippi,6,0.012,Y,2976149,7.8,45081,0.223,0.13,2020,R
Illinois,20,0.012,Y,12671821,9.5,69187,0.34,0.068,2020,D
Iowa,6,1.3,No,3134693,3.7,58570,27.2,4.3,2016,R
Connecticut,7,0.012,Y,3565287,7.9,78833,0.393,0.059,2020,D
Arizona,8,2.7,No,5743834,5.1,45205,24.7,19.3,2004,R
New Jersey,14,0.012,Y,8882190,9.8,85751,0.412,0.074,2020,D
Missouri,10,2.1,No,6021988,7.3,47202,26.5,13.0,2012,R
Arkansas,6,3.8,Yes,2855390,5.5,40531,19.6,17.5,2008,R
Georgia,15,2.7,No,8979935,4.7,46146,26.3,18.5,2004,R
North Carolina,15,2.1,No,9752073,9.4,45206,27.3,16.8,2012,R
California,55,2.1,No,38041430,10.8,58328,30.9,17.9,2012,D
Tennessee,11,1.3,No,6651194,4.7,51340,27.3,9.6,2016,R
Louisiana,8,2.1,No,4601893,7.2,42944,21.4,16.9,2012,R
Maine,4,0.012,Y,1344212,5.4,58924,0.338,0.08,2020,D
Mississippi,6,1.3,No,2988726,6.0,41754,21.8,11.8,2016,R
Virginia,13,0.012,Y,8535519,6.2,76456,0.398,0.079,2020,D
Louisiana,9,3.4,No,4468976,5.1,32566,18.7,18.0,2000,R
Vermont,3,2.7,No,619132,3.6,47602,33.7,7.9,2004,D
North Carolina,15,3.4,No,8049313,3.6,39184,22.5,13.0,2000,R
Nebraska,5,0.012,Y,1934408,4.2,63229,0.313,0.095,2020,R
Virginia,13,1.3,No,8411808,4.0,68114,37.1,8.2,2016,D
New York,31,3.4,No,18976457,4.6,43393,27.4,14.0,2000,D
Hawaii,4,3.8,Yes,1288198,4.4,67214,29.9,7.5,2008,D
Idaho,4,2.1,No,1595728,7.8,45246,25.0,16.0,2012,R
New York,29,0.012,Y,19453561,10.0,72108,0.378,0.052,2020,D
Florida,29,1.3,No,20612439,4.9,50860,27.9,12.5,2016,R
Nebraska,5,3.8,Yes,1783432,3.7,49693,27.8,11.5,2008,R
Pennsylvania,20,2.1,No,12763536,7.4,51230,28.9,9.0,2012,D
New York,31,2.7,No,19227088,5.8,49480,31.2,12.3,2004,D
South Carolina,9,2.1,No,4723723,9.1,44623,23.8,15.4,2012,R
Utah,6,2.1,No,2855287,5.4,57049,30.5,14.3,2012,R
Nebraska,5,2.1,No,1855525,3.9,51381,28.5,11.3,2012,R
Oklahoma,7,1.3,No,3911338,4.9,50051,24.2,14.3,2016,R
Arkansas,6,0.012,Y,3017804,6.1,48952,0.233,0.084,2020,R
Alabama,9,2.1,No,4822023,7.4,42590,22.0,13.9,2012,R
North Carolina,15,2.7,No,8437320,4.7,41820,25.8,17.1,2004,R
Hawaii,4,0.012,Y,1415872,11.6,83102,0.349,0.041,2020,D
Maine,4,3.8,Yes,1316456,5.5,46419,27.1,10.1,2008,D
Wyoming,3,1.3,No,585501,5.2,60214,27.9,8.5,2016,R
Louisiana,8,0.012,Y,4648794,8.3,51073,0.245,0.089,2020,R
Wisconsin,10,3.8,Yes,5627967,6.7,49993,26.3,9.4,2008,D
Michigan,16,0.012,Y,9986857,9.9,59584,0.3,0.054,2020,D
South Carolina,8,3.8,Yes,4479800,9.1,42367,23.5,17.5,2008,R
South Dakota,3,2.7,No,764309,3.4,45244,24.7,10.7,2004,R
Connecticut,7,3.8,Yes,3501252,6.3,68595,35.6,9.1,2008,D
Tennessee,11,2.7,No,5915706,5.5,40315,22.1,14.3,2004,R
Maine,4,3.4,No,1274923,3.5,37240,22.9,10.0,2000,D
South Dakota,3,2.1,No,833354,3.8,51563,27.3,12.5,2012,R
Louisiana,8,1.3,No,4681666,6.1,45146,23.0,10.3,2016,R
Minnesota,10,1.3,No,5519952,3.9,65599,36.7,4.1,2016,D
Nevada,6,2.1,No,2758931,11.6,48927,22.0,20.7,2012,D
Hawaii,4,2.7,No,1262840,4.0,56897,27.4,8.1,2004,D
Alaska,3,0.012,Y,731545,7.8,77640,0.304,0.122,2020,R
Minnesota,10,2.1,No,5379139,5.6,59126,33.2,8.2,2012,D
Delaware,3,3.4,No,783600,3.5,47381,25.0,10.0,2000,D
Kansas,6,2.7,No,2735502,5.0,46891,29.5,12.2,2004,R
Pennsylvania,21,2.7,No,12406292,5.2,47221,26.7,11.1,2004,D
Maryland,10,2.1,No,5884563,6.8,71836,37.9,10.2,2012,D
South Carolina,9,1.3,No,4961119,5.0,51015,27.3,10.3,2016,R
Delaware,3,3.8,Yes,873092,5.8,56860,28.1,9.1,2008,D
Illinois,20,2.1,No,12875255,8.6,55137,31.0,13.8,2012,D
Pennsylvania,20,0.012,Y,12801989,9.1,63463,0.323,0.055,2020,D
Connecticut,7,1.3,No,3576452,5.1,73781,38.3,5.3,2016,D
Maine,4,2.1,No,1329192,7.4,48219,28.4,10.2,2012,D
Michigan,16,1.3,No,9928300,4.9,52492,28.1,5.4,2016,R
Hawaii,4,2.1,No,1392313,6.3,66259,30.0,7.8,2012,D
North Carolina,15,1.3,No,10146788,5.1,50584,29.0,10.4,2016,R
Mississippi,7,2.7,No,2897698,6.2,35028,18.4,17.9,2004,R
Texas,32,3.4,No,20851820,4.2,39927,23.2,23.0,2000,R
Delaware,3,2.1,No,917092,6.8,58415,29.5,9.1,2012,D
Texas,32,2.7,No,22490022,5.5,45890,24.3,22.4,2004,R
Missouri,10,1.3,No,6093000,4.5,51746,28.6,9.1,2016,R
Delaware,3,0.012,Y,973764,7.8,70176,0.326,0.066,2020,D
Montana,3,3.4,No,902195,4.7,33024,24.0,16.0,2000,R
Iowa,6,0.012,Y,3155070,5.3,61691,0.289,0.049,2020,R
Oregon,7,1.3,No,4093465,4.9,60834,33.1,6.8,2016,D
Virginia,13,2.1,No,8185867,5.9,63636,35.7,12.4,2012,D
Hawaii,4,3.4,No,1211537,4.2,49820,26.2,8.0,2000,D
Pennsylvania,21,3.4,No,12281054,4.2,40106,22.4,8.5,2000,D
Alaska,3,3.4,No,626932,6.6,51571,24.7,17.0,2000,R
New Jersey,15,3.4,No,8414350,3.7,55146,29.8,12.0,2000,D
New Mexico,5,2.1,No,2085538,6.7,44886,26.3,18.6,2012,D
Maryland,10,3.8,Yes,5633597,5.5,70545,36.1,10.8,2008,D
Mississippi,7,3.4,No,2844658,5.6,31330,16.9,15.0,2000,R
Alabama,9,2.7,No,4530182,5.4,38008,21.5,14.1,2004,R
Montana,3,2.7,No,926738,4.8,41243,25.7,15.8,2004,R
North Carolina,15,3.8,Yes,9222414,9.5,44619,26.5,17.1,2008,D
New Mexico,5,3.4,No,1819046,5.0,34133,23.5,20.0,2000,D
